Date,BoardNo,SpotPrice,FuturePrice
0,0,2929,-1
0,0,2869,-1
0,0,2970,-1
0,0,3046,-1
0,0,3054,-1
0,0,2970,-1
0,0,2978,-1
0,0,2924,-1
0,0,2906,-1
0,0,2897,-1
0,0,2894,-1
0,0,2875,-1
0,0,2835,-1
0,0,2848,-1
0,0,2843,-1
0,0,2899,-1
0,0,2895,-1
0,0,2924,-1
0,0,2979,-1
0,0,2982,-1
0,0,2936,-1
0,0,2950,-1
0,0,2952,-1
0,0,2917,-1
0,0,2913,-1
0,0,2961,-1
0,0,2956,-1
0,0,2868,-1
0,0,2859,-1
0,0,2859,-1
0,0,2800,-1
0,0,2799,-1
0,0,2818,-1
0,0,2809,-1
0,0,2763,-1
0,0,2803,-1
0,0,2815,-1
0,0,2825,-1
0,0,2832,-1
0,0,2812,-1
0,0,2769,-1
0,0,2763,-1
0,0,2721,-1
0,0,2709,-1
0,0,2738,-1
0,0,2706,-1
0,0,2716,-1
0,0,2765,-1
0,0,2775,-1
0,0,2772,-1
0,0,2797,-1
0,0,2773,-1
0,0,2759,-1
0,0,2791,-1
0,0,2815,-1
0,0,2813,-1
0,0,2824,-1
0,0,2830,-1
0,0,2835,-1
0,0,2839,-1
0,0,2842,-1
0,0,2829,-1
0,0,2845,-1
0,0,2781,-1
0,0,2761,-1
0,0,2767,-1
0,0,2727,-1
0,0,2723,-1
0,0,2702,-1
0,0,2691,-1
0,0,2768,-1
0,0,2830,-1
0,0,2826,-1
0,0,2716,-1
0,0,2745,-1
0,0,2719,-1
0,0,2699,-1
0,0,2618,-1
0,0,2659,-1
0,0,2708,-1
0,0,2690,-1
0,0,2712,-1
0,0,2682,-1
0,0,2709,-1
0,0,2673,-1
0,0,2656,-1
0,0,2619,-1
0,0,2601,-1
0,0,2621,-1
0,0,2595,-1
0,0,2560,-1
0,0,2564,-1
0,0,2534,-1
0,0,2547,-1
0,0,2523,-1
0,0,2573,-1
0,0,2599,-1
0,0,2630,-1
0,0,2591,-1
0,0,2559,-1
0,0,2560,-1
0,0,2601,-1
0,0,2626,-1
0,0,2605,-1
0,0,2596,-1
0,0,2555,-1
0,0,2571,-1
0,0,2531,-1
0,0,2511,-1
0,0,2514,-1
0,0,2537,-1
0,0,2559,-1
0,0,2534,-1
0,0,2564,-1
0,0,2581,-1
0,0,2566,-1
0,0,2660,-1
0,0,2668,-1
0,0,2678,-1
0,0,2649,-1
0,0,2597,-1
0,0,2591,-1
0,0,2569,-1
0,0,2574,-1
0,0,2532,-1
0,0,2478,-1
0,0,2462,-1
0,0,2407,-1
0,0,2451,-1
0,0,2468,-1
0,0,2404,-1
0,0,2426,-1
0,0,2448,-1
0,0,2487,-1
0,0,2483,-1
0,0,2421,-1
0,0,2438,-1
0,0,2386,-1
0,0,2437,-1
0,0,2452,-1
0,0,2690,-1
0,0,2696,-1
0,0,2677,-1
0,0,2698,-1
0,0,2816,-1
0,0,2778,-1
0,0,2813,-1
0,0,2836,-1
0,0,2855,-1
0,0,2862,-1
0,0,2805,-1
0,0,2785,-1
0,0,2825,-1
0,0,2884,-1
0,0,2908,-1
0,0,3044,-1
0,0,2965,-1
0,0,2972,-1
0,0,2933,-1
0,0,2957,-1
0,0,3019,-1
0,0,3048,-1
0,0,3127,-1
0,0,3138,-1
0,0,3184,-1
0,0,3150,-1
0,0,3190,-1
0,0,3150,-1
0,0,3153,-1
0,0,3136,-1
0,0,3076,-1
0,0,3058,-1
0,0,2991,-1
0,0,2996,-1
0,0,3001,-1
0,0,3024,-1
0,0,3048,-1
0,0,3028,-1
0,0,3039,-1
0,0,3082,-1
0,0,3135,-1
0,0,3138,-1
0,0,3093,-1
0,0,3040,-1
0,0,2990,-1
0,0,3007,-1
0,0,3031,-1
0,0,3037,-1
0,0,2978,-1
0,0,2963,-1
0,0,2945,-1
0,0,2956,-1
0,0,2922,-1
0,0,2946,-1
0,0,2952,-1
0,0,2978,-1
0,0,2958,-1
0,0,2929,-1
0,0,2947,-1
0,0,2968,-1
0,0,3019,-1
0,0,3001,-1
0,0,2977,-1
0,0,3034,-1
0,0,3027,-1
0,0,3056,-1
0,0,3100,-1
0,0,3096,-1
0,0,3108,-1
0,0,3161,-1
0,0,3218,-1
0,0,3237,-1
0,0,3175,-1
0,0,3158,-1
0,0,3222,-1
0,0,3223,-1
0,0,3191,-1
0,0,3221,-1
0,0,3186,-1
0,0,3195,-1
0,0,3185,-1
0,0,3166,-1
0,0,3142,-1
0,0,3132,-1
0,0,3164,-1
0,0,3145,-1
0,0,3185,-1
0,0,3116,-1
0,0,3119,-1
0,0,3080,-1
0,0,3039,-1
0,0,2994,-1
0,0,3001,-1
0,0,3041,-1
0,0,3048,-1
0,0,3068,-1
0,0,3077,-1
0,0,3116,-1
0,0,3125,-1
0,0,3141,-1
0,0,3108,-1
0,0,3170,-1
0,0,3183,-1
0,0,3160,-1
0,0,3156,-1
0,0,3181,-1
0,0,3171,-1
0,0,3115,-1
0,0,3139,-1
0,0,3222,-1
0,0,3193,-1
0,0,3203,-1
0,0,3236,-1
0,0,3254,-1
0,0,3233,-1
0,0,3208,-1
0,0,3206,-1
0,0,3166,-1
0,0,3175,-1
0,0,3192,-1
0,0,3220,-1
0,0,3272,-1
0,0,3266,-1
0,0,3303,-1
0,0,3273,-1
0,0,3301,-1
0,0,3379,-1
0,0,3389,-1
0,0,3325,-1
0,0,3342,-1
0,0,3333,-1
0,0,3385,-1
0,0,3382,-1
0,0,3428,-1
0,0,3447,-1
0,0,3435,-1
0,0,3383,-1
0,0,3385,-1
0,0,3296,-1
0,0,3301,-1
0,0,3291,-1
0,0,3348,-1
0,0,3360,-1
0,0,3414,-1
0,0,3415,-1
0,0,3391,-1
0,0,3427,-1
0,0,3434,-1
0,0,3436,-1
0,0,3457,-1
0,0,3474,-1
0,0,3472,-1
0,0,3405,-1
0,0,3415,-1
0,0,3440,-1
0,0,3417,-1
0,0,3385,-1
0,0,3366,-1
0,0,3409,-1
