Date,BoardNo,SpotPrice,FuturePrice
0,0,2929,-1
0,0,2988,-1
0,0,2887,-1
0,0,2811,-1
0,0,2803,-1
0,0,2887,-1
0,0,2880,-1
0,0,2934,-1
0,0,2952,-1
0,0,2960,-1
0,0,2964,-1
0,0,2982,-1
0,0,3022,-1
0,0,3010,-1
0,0,3015,-1
0,0,2959,-1
0,0,2963,-1
0,0,2933,-1
0,0,2879,-1
0,0,2875,-1
0,0,2922,-1
0,0,2908,-1
0,0,2906,-1
0,0,2941,-1
0,0,2945,-1
0,0,2897,-1
0,0,2902,-1
0,0,2990,-1
0,0,2999,-1
0,0,2998,-1
0,0,3058,-1
0,0,3059,-1
0,0,3040,-1
0,0,3048,-1
0,0,3094,-1
0,0,3054,-1
0,0,3043,-1
0,0,3033,-1
0,0,3025,-1
0,0,3045,-1
0,0,3088,-1
0,0,3095,-1
0,0,3137,-1
0,0,3149,-1
0,0,3120,-1
0,0,3152,-1
0,0,3141,-1
0,0,3093,-1
0,0,3082,-1
0,0,3085,-1
0,0,3061,-1
0,0,3084,-1
0,0,3098,-1
0,0,3066,-1
0,0,3043,-1
0,0,3045,-1
0,0,3034,-1
0,0,3027,-1
0,0,3023,-1
0,0,3018,-1
0,0,3015,-1
0,0,3029,-1
0,0,3013,-1
0,0,3076,-1
0,0,3097,-1
0,0,3091,-1
0,0,3130,-1
0,0,3135,-1
0,0,3155,-1
0,0,3167,-1
0,0,3090,-1
0,0,3028,-1
0,0,3032,-1
0,0,3141,-1
0,0,3112,-1
0,0,3138,-1
0,0,3159,-1
0,0,3239,-1
0,0,3199,-1
0,0,3149,-1
0,0,3168,-1
0,0,3146,-1
0,0,3176,-1
0,0,3149,-1
0,0,3185,-1
0,0,3201,-1
0,0,3239,-1
0,0,3256,-1
0,0,3237,-1
0,0,3263,-1
0,0,3297,-1
0,0,3293,-1
0,0,3324,-1
0,0,3311,-1
0,0,3334,-1
0,0,3285,-1
0,0,3259,-1
0,0,3227,-1
0,0,3266,-1
0,0,3298,-1
0,0,3298,-1
0,0,3257,-1
0,0,3231,-1
0,0,3253,-1
0,0,3261,-1
0,0,3302,-1
0,0,3286,-1
0,0,3326,-1
0,0,3346,-1
0,0,3344,-1
0,0,3321,-1
0,0,3299,-1
0,0,3324,-1
0,0,3294,-1
0,0,3277,-1
0,0,3291,-1
0,0,3198,-1
0,0,3190,-1
0,0,3179,-1
0,0,3208,-1
0,0,3261,-1
0,0,3267,-1
0,0,3288,-1
0,0,3284,-1
0,0,3326,-1
0,0,3380,-1
0,0,3395,-1
0,0,3451,-1
0,0,3406,-1
0,0,3389,-1
0,0,3454,-1
0,0,3432,-1
0,0,3410,-1
0,0,3370,-1
0,0,3375,-1
0,0,3436,-1
0,0,3420,-1
0,0,3472,-1
0,0,3421,-1
0,0,3405,-1
0,0,3168,-1
0,0,3161,-1
0,0,3181,-1
0,0,3159,-1
0,0,3042,-1
0,0,3080,-1
0,0,3045,-1
0,0,3022,-1
0,0,3003,-1
0,0,2995,-1
0,0,3052,-1
0,0,3073,-1
0,0,3033,-1
0,0,2974,-1
0,0,2950,-1
0,0,2813,-1
